CVE-2020-0001,Candidate,"In getProcessRecordLocked of ActivityManagerService.java isolated apps are not handled correctly. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-8.0, Android-8.1, Android-9, and Android-10 Android ID: A-140055304","CONFIRM:https://source.android.com/security/bulletin/2020-01-01",Assigned (20191017),"None (candidate not yet proposed)",""
CVE-2020-0002,Candidate,"In ih264d_init_decoder of ih264d_api.c, there is a possible out of bounds write due to a use after free. This could lead to remote code execution with no additional execution privileges needed. User interaction is needed for exploitation Product: Android Versions: Android-8.0, Android-8.1, Android-9, and Android-10 Android ID: A-142602711","CONFIRM:https://source.android.com/security/bulletin/2020-01-01",Assigned (20191017),"None (candidate not yet proposed)",""
CVE-2020-0003,Candidate,"In onCreate of InstallStart.java, there is a possible package validation bypass due to a time-of-check time-of-use vulnerability. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation. Product: Android Versions: Android-8.0 Android ID: A-140195904","CONFIRM:https://source.android.com/security/bulletin/2020-01-01",Assigned (20191017),"None (candidate not yet proposed)",""
CVE-2020-0004,Candidate,"In generateCrop of WallpaperManagerService.java, there is a possible sysui crash due to image exceeding maximum texture size. This could lead to local denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-8.0 Android-8.1 Android-9 Android-10Android ID: A-120847476","CONFIRM:https://source.android.com/security/bulletin/2020-01-01",Assigned (20191017),"None (candidate not yet proposed)",""
CVE-2020-0005,Candidate,"In btm_read_remote_ext_features_complete of btm_acl.cc, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-8.0 Android-8.1 Android-9 Android-10Android ID: A-141552859","MISC:https://source.android.com/security/bulletin/2020-02-01",Assigned (20191017),"None (candidate not yet proposed)",""
CVE-2020-0006,Candidate,"In rw_i93_send_cmd_write_single_block of rw_i93.cc, there is a possible information disclosure of heap memory due to uninitialized data. This could lead to remote information disclosure in the NFC server with no additional execution privileges needed. User interaction is needed for exploitation. Product: Android Versions: Android-8.0, Android-8.1, Android-9, and Android-10 Android ID: A-139738828","CONFIRM:https://source.android.com/security/bulletin/2020-01-01",Assigned (20191017),"None (candidate not yet proposed)",""
CVE-2020-0007,Candidate,"In flattenString8 of Sensor.cpp, there is a possible information disclosure of heap memory due to uninitialized data. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-8.0, Android-8.1, Android-9, and Android-10 Android ID: A-141890807","CONFIRM:https://source.android.com/security/bulletin/2020-01-01",Assigned (20191017),"None (candidate not yet proposed)",""
CVE-2020-0008,Candidate,"In LowEnergyClient::MtuChangedCallback of low_energy_client.cc, there is a possible out of bounds read due to a race condition. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-8.0, Android-8.1, Android-9, and Android-10 Android ID: A-142558228","CONFIRM:https://source.android.com/security/bulletin/2020-01-01",Assigned (20191017),"None (candidate not yet proposed)",""
CVE-2020-0009,Candidate,"In calc_vm_may_flags of ashmem.c, there is a possible arbitrary write to shared memory due to a permissions bypass. This could lead to local escalation of privilege by corrupting memory shared between processes, with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android kernel Android ID: A-142938932","CONFIRM:https://source.android.com/security/bulletin/2020-01-01   |   MISC:http://packetstormsecurity.com/files/155903/Android-ashmem-Read-Only-Bypasses.html",Assigned (20191017),"None (candidate not yet proposed)",""
CVE-2020-0010,Candidate,"** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem. When the candidate has been publicized, the details for this candidate will be provided.","",Assigned (20191017),"None (candidate not yet proposed)",""
